0m0-0s0-0h0-00,Urbeleg NILES-SOFT, M.S.H.
0t0-0p0-060-00,tp6, SOB tp6
000-001-001-00,U.Dieckmann, STB EA/B
000-001-002-00,BWF Marzahn
000-001-003-00,VEB NILES-Elektronik Eisenach
000-001-004-00,SOB/StB B-FIBU
000-001-005-00,VEB Mikrosa Leipzig
000-001-006-00,VEB Drehmaschinenwerk Leipzig
000-001-007-00,VEB Gie·erei "R. Harla·"
000-001-008-00,VEB Schleifmaschinenwerk K.-M.-Stadt
000-001-009-00,VEB Gro·drehmaschinenbau "8.Mai" K.-M.-Stadt
000-002-001-00,D.Roehricht, WBK Cottbus / Bereich Projektierung
000-003-001-00,WBK Halle/Saale
000-004-001-00,WBK Karl-Marx-Stadt
000-005-001-00,ZBO Luckau
000-006-001-00,IFA Werk Ludwigsfelde
000-007-001-00,MÅnze

